0;0;250;CrowdPanic;Thieves and Murderers;A large group has started raiding and murdering people!;0.85;0.8;0.8;0.9
0;0;350;CrowdPanic;Black Death;An infectious bacterial disease has spread all over the world and has decreased the health of your population.;1;1;0.3;0.4
0;0;1000;Earthquake;Earthquake;An earthquake has occurred and has damaged your infrastructure!;0.8;0.6;0.7;0.75
0;0;1000;Hunger;Starvation;Famine sweeps across the globe!;1;1;0.4;0.7
0;0;1000;Volcano;Volcanic eruption;Death Mountain has erupted and has filled the atmosphere with ashes.;0.4;0.8;0.6;0.9
0;0;1000;Tsunami;Tsunami;A giant 10-meter tall tsunami destroyed one of the biggest capitals.;1;0.8;0.5;0.7
0;0;1000;Disaster;Environmental disaster;Something has caused a very strange atmospheric change -- maybe the CPU is overheating?;0.2;0.5;0.8;1
0;0;1000;Fire;Forest fire;Panic arises, many farmlands are lost and pollution levels are skyrocketing.;0.7;0.5;0.7;0.95
0;0;1000;SnowStorm;Blizzard;A severe blizzard has made certain crop-fields unusable and many people have gotten the common cold.;1;0.9;0.6;0.95
0;0;1000;Typhoon;Typhoon;A cyclonic storm has devastated many coastal cities.;1;0.8;0.65;0.9
0;0;1000;Drought;Drought;Many crops have died and the scorching heat has made life difficult.;0.95;0.7;0.75;1
0;0;1000;Tornado;Tornado;A violent and dangerous tornado has destroyed many houses.;1;0.95;0.7;0.9
0;0;1000;Asteroid;Asteroid;A huge pile or rocks has crash landed on the populated planet, thousands might die.;1;0.95;0.25;0.5
0;0;1000;Flu;Jungle Fever;People are sick and dying.;0.95;1;0.5;0.97
0;0;1000;Flu;Ebola;The disease is spreading rapidly!;0.95;1;0.4;0.97
0;0;300;Gargamel;Gargamel;Gargamel is trying to catch some smurfs with Azrael, but he keeps on failing. So he isn't really affecting anything...;1;1;1;1
0;100;300;MedievalWar;The Great War;Global tensions between different cultures have thrown the planet into a World War.;1;0.9;0.7;0.5
0;100;400;Disaster;My God or Your God;Religious tensions have reached a new boiling point, causing people to fight each other. Is there truly a Creator?;0;1;0.9;0.8
0;150;1000;Flu;The flu;Influenza is on the rise due to a movement's refusal to vaccinate!;0.9;1;0.8;0.6
0;250;750;Bankruptcy;Bankruptcy;People can't pay for food anymore and the economic system is failing!;1;1;0.8;1
0;300;700;Snake;Land of Nopes;Someone brought their Nopes from Australia, and they have started killing people.;1;1;0.75;1
0;300;900;Tobacco;Tobacco;Somebody inhaled the fumes of some burning leaves and, sadly, enjoyed it.;0.6;0.9;0.4;1
0;450;1000;RedMustang;Red Mustang Pollution;One of your species has bought a Red Mustang and it has dramatically decreased the quality of your atmosphere.;0.5;1;0.75;1
0;450;1000;Zombie;Zombie outbreak;A lot of species have transformed into zombies. A cure is being researched...;0.8;0.9;0.3;0.4
0;450;1000;PoliticalCrisis;Political Crisis;People are rioting because a dictator has taken over parts of the world!;0.8;0.9;0.9;0.9
0;700;900;Kardashians;The Kardashians;Too many were born, and ruined a bit of everything -- from North to West.;0.8;0.9;0.95;1
0;500;1000;TonaldDrump;New Leader: Tonald Drump;Your species have elected a new leader named Tonald Drump. He has caused a lot of pollution and decreased overall healthcare.;0.75;1;0.75;1
0;500;1000;GreatWar;World War;People are dying all over the world.;0.95;0.90;0.40;0.5
0;600;700;BillNye;The planet is not round!;Some idiots are claiming the Earth is flat and have caused quite some havoc among the people.;1;1;0.95;1
0;600;900;Disaster;Warning! Toxic!;Toxic waste is being handle irresponsibly. Organisations are outraged!;0.8;0.7;0.8;1
0;600;1000;AtomicBomb;The Atomic bomb;A country has harnessed the power of the atom and developed and used a nuclear bomb in combat. ;0.6;0.8;0.5;0.6
0;700;1000;Disaster;Nuclear meltdown;Do you know Chernobyl? They've made the same mistake.;0.7;0.9;0.7;0.75
0;700;1000;Protection;Prevention!;People have started using condoms as a means of birth control.;1;1;1;0.95
0;700;1000;monster;Genetically Modified Monsters;Uhm, we've created something -- and it's kind of wrecking cities and its inhabitants. Woops!;1;0.9;0.9;0.9
0;750;1000;Monkey;Planet of The Apes;Looks like it wasn't a film after all.;1;1;0.5;0.6
0;800;1000;Disaster;Terrorism!;Terrorism is on the rise and is causing havoc in your cities.;1;1;0.7;0.8
0;800;1000;Disaster;The River of Blood;A massive fire at an industrial complex has released toxic agrochemicals into the air and resulted in tons of pollutants entering the closest rivers, turning it red.;0.6;0.75;0.7;0.95
0;850;1000;Disaster;Blimey, riots!;Strict politics have stirred emotions and riot outbreaks are on the rise.;1;1;0.7;1
0;850;1000;Exams;Exams, exams everywhere;We exceeded expectations just by turning up for the exams!;1;1;0.7;1
